"population_size","iteration_number","run_number","optimization_horizon","optimization_frequency","elec_heating","cost_heating","building_comfort","reward","process_time"
10,40,1,12,12,20817.5991736006,962.946602866401,24929,-5290.9466028664,497.215449333191
10,40,1,12,6,20022.0738868803,936.415114988949,22402,-5974.41511498895,530.529551506042
10,40,1,18,12,20755.7790729126,961.59141548934,25162,-5312.59141548934,546.970254182816
10,40,1,18,18,21140.8321344649,978.60793865955,24665,-5772.60793865955,472.781431913376
10,40,1,18,6,20080.056630262,940.484376864222,22425,-5959.48437686422,516.1811170578
10,40,1,24,12,20603.4629153246,952.24764844297,24828,-5488.24764844297,519.158186912537
10,40,1,24,18,20983.099333384,969.242323439417,24430,-5836.24232343942,487.644258975983
10,40,1,24,24,21188.1629071689,977.523337914024,24729,-5915.52333791402,515.610641241074
10,40,1,24,6,19981.7372296687,934.946797536398,22569,-5869.9467975364,553.511283159256
10,40,1,6,6,19843.9454704341,927.588674953643,22504,-5921.58867495364,527.692913770676
10,40,10,12,12,17082.5337612371,786.450050405282,25463,-4155.45005040528,7549.14022517204
10,40,10,12,6,17118.0496704844,807.554269732347,22547,-5330.55426973235,5973.24318623543
10,40,10,18,12,17077.7838823536,788.444710222699,25388,-4303.4447102227,8577.00067353249
10,40,10,18,18,17647.4105067522,819.449034205109,25510,-4545.44903420511,8753.83075881004
10,40,10,18,6,17026.6654514042,804.363817625474,22525,-5319.36381762547,6699.9995033741
10,40,10,24,12,17139.461655975,791.933873127268,25268,-4159.93387312727,8482.02028417587
10,40,10,24,18,17928.2488900714,833.446073476965,25300,-4588.44607347696,9080.63500094414
10,40,10,24,24,18203.3437681197,844.275220342493,25864,-4385.27522034249,9167.09637904167
10,40,10,24,6,16945.7475250792,799.121659508777,22808,-5241.12165950878,6518.43231010437
10,40,10,6,6,17087.4126853208,807.731547445249,22643,-5284.73154744525,5769.86892914772
10,40,2,12,12,19389.5031859783,896.310797446891,25066,-4777.31079744689,1130.69906997681
10,40,2,12,6,19018.3395414172,894.668218525997,22770,-5521.668218526,1053.54714441299
10,40,2,18,12,19505.8362444751,901.861055865877,25119,-4801.86105586588,1209.21108913422
10,40,2,18,18,19880.8702339184,921.75097399513,25225,-5078.75097399513,1287.37851381302
10,40,2,18,6,18974.5442882765,892.255514119097,22617,-5582.2555141191,1030.3088696003
10,40,2,24,12,19389.0478994715,899.047422122862,25340,-4657.04742212286,1245.68734669685
10,40,2,24,18,19777.4097031783,917.533568342738,25212,-5002.53356834274,1255.77172684669
10,40,2,24,24,19984.3489817479,921.818411790767,25293,-5156.81841179077,1296.20143079758
10,40,2,24,6,18856.3763089912,887.907159658558,22807,-5456.90715965856,1025.51609587669
10,40,2,6,6,19081.90056691,895.422659021221,22895,-5521.42265902122,1052.2008998394
10,40,5,12,12,17726.2474225086,817.604639160918,25458,-4262.60463916092,4252.21819639206
10,40,5,12,6,17493.0557900037,823.998430499425,22890,-5298.99843049943,3332.67303109169
10,40,5,18,12,17748.0169894227,820.743317523366,25668,-4234.74331752337,4171.67344689369
10,40,5,18,18,18307.6032836614,851.051291354682,25345,-4585.05129135468,4515.26095199585
10,40,5,18,6,17545.9546593042,827.092096020833,22965,-5360.09209602083,3130.84050631523
10,40,5,24,12,17591.4599408422,814.737307488155,25560,-4300.73730748816,4335.56558465958
10,40,5,24,18,18519.4255698698,858.642796429619,25458,-4626.64279642962,4156.7986767292
10,40,5,24,24,18654.1338984314,864.744758178176,25702,-4606.74475817818,4375.98074388504
