"","time","external_temperature","solar_radiation","electricity_cost","building_occupied","mean_temp_24h","Ti","Te","act_vent","set_point_heating_low","set_point_heating_high","set_point_cooling_low","set_point_cooling_high","act_heat","act_cool","Qh","Qc","elec_heating","elec_cooling","elec_total","elec_cost","building_comfort","reward","external_temperature_forecast","solar_radiation_forecast","Ti_forecast","Te_forecast","Qh_forecast","Qc_forecast","elec_total_forecast"
"120",2019-01-01 09:55:00,6.39958333333333,120.680833333333,-0.00493,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",2019-01-01 10:00:00,6.4,123.5,0.00045,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",2019-01-01 10:05:00,6.4035,125.175,0.00045,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",2019-01-01 10:10:00,6.407,126.85,0.00045,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",2019-01-01 10:15:00,6.4105,128.525,0.00045,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",2019-01-01 10:20:00,6.414,130.2,0.00045,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",2019-01-01 10:25:00,6.4175,131.875,0.00045,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",2019-01-01 10:30:00,6.421,133.55,0.00045,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",2019-01-01 10:35:00,6.4245,135.225,0.00045,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",2019-01-01 10:40:00,6.428,136.9,0.00045,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",2019-01-01 10:45:00,6.4315,138.575,0.00045,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",2019-01-01 10:50:00,6.435,140.25,0.00045,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",2019-01-01 10:55:00,6.4385,141.925,0.00045,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",2019-01-01 11:00:00,6.442,143.6,0.00012,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",2019-01-01 11:05:00,6.41616666666667,140.541666666667,0.00012,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",2019-01-01 11:10:00,6.39033333333333,137.483333333333,0.00012,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",2019-01-01 11:15:00,6.3645,134.425,0.00012,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
